,Attraction_name,Company,Rating,Reviews,Ticket_price,Free_cancellation,Overview,Location,Meeting_point,Attraction_page
0,SUMMIT One Vanderbilt Experience Tickets,SUMMIT One Vanderbilt,9.2,809,48.0,Free cancellation available,"OverviewMost immersive observation deck - an Instagram dream.At the top of Midtown tallest commercial skyscraper.Three levels of multi-sensory experiences.Feel the bustle and hustle from 1,070 feet high.Spectacular 360 views of New York City and beyond.Show more",45 East 42nd Street,45 East 42nd Street,https://www.expedia.com/things-to-do/summit-one-vanderbilt-experience-tickets.a44823095.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
1,Statue of Liberty & Ellis Island Tour: All Options,ExperienceFirst,9.4,1829,69.0,Free cancellation available,OverviewEngaging guided tour to the Statue of Liberty & Ellis IslandReserved time access to board the ferry so you can save timeEntry to the Statue of Liberty Museum on the islandEntry to the Immigration Museum at Ellis IslandRoundtrip ferry tickets to and from Liberty & Ellis IslandShow more,"10004, New York, New York, United States of America",Battery Park,https://www.expedia.com/things-to-do/statue-of-liberty-ellis-island-tour-all-options.a269114.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
2,New York CityPASS®: Experience 5 must-see attractions,CityPASS,9.0,2106,154.0,Free cancellation available,OverviewSave time and money with one simple purchaseVisit 5 top attractions including Empire State BuildingEasy to use mobile tickets on your choice of attractionsVisit my.citypass.com for attraction info & reservationsSave up to 41 percent on combined regular box office priceShow more,"New York, New York, United States of America",1071 5th Avenue,https://www.expedia.com/things-to-do/new-york-citypass-experience-5-must-see-attractions.a184465.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
3,The Lion King On Broadway,The Lion King on Broadway,9.4,1452,160.0,2h 30m,"OverviewThe highest-grossing Broadway production of all timeFantastic musical that appeals to theater-goers of all agesStunning costumes & puppets bring African animals to lifeElton John's Oscar-winning “Can You Feel the Love Tonight”6-time Tony Award® winner, including Best Musical in 1998Show more",200 West 45th Street,200 West 45th Street,https://www.expedia.com/things-to-do/the-lion-king-on-broadway.a185492.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
4,One World Observatory Tickets,One World Observatory,9.0,1225,31.0,Free cancellation available,"OverviewSpectacular views from Western Hemisphere's tallest buildingSkyline of NYC, its boroughs & rivers from high aboveSkyPod elevator lifts you to floor 102 in 47 secondsAdmission tickets to this popular New York City sightChance to sip a cocktail or dine with spectacular viewsShow more",117 West Street,117 West Street,https://www.expedia.com/things-to-do/one-world-observatory-tickets.a444325.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
5,Aladdin on Broadway,Aladdin on Broadway,9.6,835,84.0,2h 30m,"OverviewStage version of the beloved 1992 Disney animated classicFantastic sets, colorful costumes & spectacular choreographyOffers a delightful mix of music, comedy, and charismaSweeps you into an exotic world full of daring adventureDazzling visuals and show-stopping performancesShow more","214 West 42nd Street
between Broadway & 8th Avenue","214 West 42nd Street
between Broadway & 8th Avenue",https://www.expedia.com/things-to-do/aladdin-on-broadway.a185464.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
6,Wicked On Broadway,Wicked on Broadway,9.6,475,138.0,2h 45m,"OverviewSongs including “Defying Gravity,” “Popular” & “For Good”Nominated for 10 Tony Awards® including Best Musical & BookBased on the best-selling book _Wicked_ by Gregory MaguireMoving tale about the true nature of friendship, good & evilUnforgettable characters, dazzling sets & fantastic costumesShow more",222 West 51st Street,222 West 51st Street,https://www.expedia.com/things-to-do/wicked-on-broadway.a185520.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
7,Central Park Pedicab Tour– Top Highlights,#1 Central Park Pedicab Tour,10.0,1,28.0,Free cancellation available,"Activity locationWollman Rink830 5th Ave10065-7001, New York City, New York, United States",830 5th Ave,1411 6th Avenue,https://www.expedia.com/things-to-do/central-park-pedicab-tour-top-highlights.a50949528.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
8,Color Factory NYC Ticket,Color Factory NYC,10.0,5,42.0,1h 30m,"Activity locationColor Factory New York251 Spring St10013-1520, New York City, New York, United States",251 Spring St,251 Spring St,https://www.expedia.com/things-to-do/color-factory-nyc-ticket.a49191949.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
9,Intrepid Museum Admission Ticket,Intrepid Air & Space Museum,9.4,328,38.0,Free cancellation available,"Activity locationIntrepid Sea, Air & Space Museum12th Avenue & 46th Street, Pier 8610036, New York City, New York, United States","12th Avenue & 46th Street, Pier 86","12th Avenue & 46th Street, Pier 86",https://www.expedia.com/things-to-do/intrepid-museum-admission-ticket.a697522.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
10,Fully Guided Statue of Liberty Tour with Ellis Island,Walks,9.0,1074,59.0,Free cancellation available,OverviewHear history come alive with your licensed tour guideSee incredible artifacts at the Statue of Liberty MuseumVisit Ellis Island with personal time to exploreChoose an express tour of the Statue for more flexibilitySee the famed NYC skyline while sailing across NYC HarborShow more,Statue of Liberty,1 Bowling Green,https://www.expedia.com/things-to-do/fully-guided-statue-of-liberty-tour-with-ellis-island.a248963.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
11,Brooklyn Small Group Food Tour: Local Bites & Neighborhood Stories,Intrepid Travel,9.6,9,67.0,Free cancellation available,"OverviewVisit family-owned shops & artisanal cafesDiscover Brooklyn’s rich food culture & historyTaste Italian, Middle Eastern & New American bitesSupport local businesses with every delicious stopLed by a B-Corp certified local tour companyShow more",Brooklyn,61 Bergen Street,https://www.expedia.com/things-to-do/brooklyn-small-group-food-tour-local-bites-neighborhood-stories.a258096.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
12,Circle Line: 50-Minute Statue of Liberty Super Express Sightseeing Cruise,New York Water Taxi,9.6,10,29.0,Free cancellation available,OverviewFastest way to see the Statue of Liberty50-minute express cruiseDeparts from Pier 16Perfect photo opportunityLive narration from an informative tour guide on boardShow more,167 John Street,89 South Street,https://www.expedia.com/things-to-do/circle-line-50-minute-statue-of-liberty-super-express-sightseeing-cruise.a2414740.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
13,Circle Line: New York Landmarks Cruise,Circle Line Sightseeing,9.0,348,45.0,Free cancellation available,OverviewStunning up-close looks at Statue of Liberty & Ellis IslandSweeping skyline views including One World Trade CenterSpectacular photo opportunities of the Brooklyn BridgeNarration in English by award winning tour guidesDownload: free Circle Line App w/audio tour in 9 languages.Show more,"Pier 83, W 42nd St and 12th Avenue","Pier 83, W 42nd St",https://www.expedia.com/things-to-do/circle-line-new-york-landmarks-cruise.a183469.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
14,Circle Line: Statue of Liberty at Sunset Cruise,New York Water Taxi,9.8,6,32.0,Free cancellation available,OverviewThe Statue of Liberty at SunsetThe Manhattan Skyline at SunsetConcessions available directly on board May 23 - Nov 1st.See One World Trade Center at nightSee the Brooklyn Bridge at nightShow more,89 South Street,89 South Street,https://www.expedia.com/things-to-do/circle-line-statue-of-liberty-at-sunset-cruise.a46012372.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
15,New York: Unlimited USA Internet with eSIM Mobile Data Plan,Rent 'n Connect,9.6,4,3.0,Free cancellation available,OverviewRelax with live customer supportUnlimited data planContinue to use your own mobileBenefit from a product which is downloadableAvoid expensive data roaming chargesShow more,times Square,Times Square,https://www.expedia.com/things-to-do/new-york-unlimited-usa-internet-with-esim-mobile-data-plan.a49390718.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
16,Edge Observation Deck at Hudson Yards,Edge Hudson Yards Observation Deck,10.0,1,39.0,Free cancellation available,OverviewExperience NYC from 100 stories highEnjoy 360 panoramic skyline viewsStep onto a thrilling glass floorFeel the rush of angled glass wallsDiscover NYC from a new perspectiveShow more,30 Hudson Yards,30 Hudson Yards,https://www.expedia.com/things-to-do/edge-observation-deck-at-hudson-yards.a50517646.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
17,NYC: Museum of Modern Art (MoMA) Entry Ticket,The Museum of Modern Art,9.2,1397,30.0,Free cancellation available,"OverviewExplore The Museum of Modern Art in Midtown with your entry ticketSee amazing works of contemporary art, including Monet's Water LiliesCheck out Campbell's Soup Cans by Warhol and The Dance (I) by MatisseBehold masterpieces by Gauguin, Dali, Picasso, and PollockListen to free audio guides directly on your personal mobile deviceShow more",No Location,No Meeting Point,https://www.expedia.com/things-to-do/nyc-museum-of-modern-art-moma-entry-ticket.a4541902.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
18,Brooklyn Nets Basketball Game at Barclays Center,Sports Where I Am,9.6,3,200.0,3h,OverviewSee a Brooklyn Nets NBA game in personGet swept up in the electrifying atmosphereGet a mobile ticket sent to your phone for convenient entryEnjoy a range of concessions and matchday entertainmentA wide selection of game dates against the NBA's top teamsShow more,620 Atlantic Avenue,620 Atlantic Avenue,https://www.expedia.com/things-to-do/brooklyn-nets-basketball-game-at-barclays-center.a47300477.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
19,All Day Bike Rental & Picnic Lunch in Central Park,Unlimited Biking NYC,10.0,2,71.0,Free cancellation available,"OverviewAll Day Bike RentalHelmet, Bike bag, Bike Lock and Map Included3 Gourmet Picnic Boxes to choose fromFreedom to explore the park & find the perfect lunch spotKids Bikes and Attachments availableShow more","56 West 56th Street
between 5th and 6th avenue",56 West 56th Street,https://www.expedia.com/things-to-do/all-day-bike-rental-picnic-lunch-in-central-park.a426831.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
20,The Play That Goes Wrong Off-Broadway,The Play That Goes Wrong on Broadway,9.8,27,96.0,2h,"OverviewA celebration of the best of live theater... and the worst2015 Laurence Olivier Awards Winner for Best New ComedyNow playing at the New World StagesDirected by Mark BellDebuting as a theatrical producer, produced by J.J. AbramsShow more",340 West 50th Street,340 West 50th Street,https://www.expedia.com/things-to-do/the-play-that-goes-wrong-off-broadway.a529776.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
21,9/11 Memorial & Ground Zero Walking Tour with Museum Option,City Wonders,10.0,3,23.0,Free cancellation available,OverviewVisit the 9/11 Memorial twin reflecting poolsHear stories from expert English guideSee the Survivor Tree and Firefighter’s MemorialExplore the rebuilt World Trade Center siteOptional timed entry to the 9/11 MuseumShow more,Manhattan,55 Church Street,https://www.expedia.com/things-to-do/9-11-memorial-ground-zero-walking-tour-with-museum-option.a49220326.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
22,Get Your 15 Seconds of Fame on a Times Square Billboard in NYC!,Welcome to Times Square,9.4,10,150.0,Free cancellation available,"Activity location1560 Broadway1560 Broadway10036, New York, New York, United States",1560 Broadway,1560 Broadway,https://www.expedia.com/things-to-do/get-your-15-seconds-of-fame-on-a-times-square-billboard-in-nyc.a46450823.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
23,Circle Line: Best of New York Cruise – All Around Manhattan,Circle Line Sightseeing,9.4,77,52.0,Free cancellation available,OverviewUparalleled ViewsOnboard CaféDownload: free Circle Line App w/audio tour in 9 languagesFree WiFiOutdoor deckShow more,Pier 83,"Pier 83, W 42nd St",https://www.expedia.com/things-to-do/circle-line-best-of-new-york-cruise-all-around-manhattan.a586683.activity-details?&rid=178293&location=New+York+%28and+vicinity%29%2C+New+York%2C+United+States+of+America&startDate=2025-10-28&endDate=2025-10-29&sort=RECOMMENDED&selectedId=&filter.reviewScore=GT4_5&filter.seeAll=true&swp=on
